,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,October,Year to Date (to October),Year to Date (to October),Year to Date (to October),Year to Date (to October),2020 Financial Year,2020 Financial Year,2020 Financial Year,2020 Financial Year,Whole of Life,Whole of Life,Whole of Life,Whole of Life
REPSEG8100.PS,Overhead,#,Not assigned,R-14320,Sydney Harbour Bridge R&D Retainer Nov-D,,,,,,"22,269",,"22,269",,"22,269",,"22,269",
REPSEG8100.PS,Overhead,#,Not assigned,R-14323,NSSMC Spray Cooling Software Product,,"8,299",,"8,299",,"73,356",,"73,356",,"129,376",,"129,376",
REPSEG8100.PS,Overhead,#,Not assigned,R-90148,Analytics Program - Travel and Operating,,,,,,,,,,"394,873","397,324","-2,451",
REPSEG8100.PS,Overhead,#,Not assigned,R-90149,Analytics Program - Small Consultancies,"8,234","32,670","32,670",0,,"97,212","32,670","64,542",,"294,117","120,985","173,132",
REPSEG8100.PS,Overhead,#,Not assigned,R-90546,CRP- Analytics,"8,806","36,641","36,641",-0,,"103,609","36,641","66,967",,"512,501","379,336","133,165",
REPSEG8100.PS,Overhead,#,Not assigned,R-90589,DS - CRP,"34,759","139,411","139,411",-0,,"280,107","139,411","140,696",,"2,942,344","2,338,721","603,623",
REPSEG8100.PS,Overhead,#,Not assigned,R-91103,Australian Startup Ecosystem,,,,,,,,,,"6,048","6,048",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-91362,ANU Teaching,"7,142","7,142","7,142",0,,"14,515","7,142","7,373",,"14,515","7,142","7,373",
DMEXPENSES.PSBI,Data Migration Expen,#,Not assigned,R-90150,Analytics Program R02P05 - IP Costs,,,,,,,,,,1,,1,
REVENUE.PSBI,TOTAL REVENUE,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,,"-62,244",,"-62,244",,"-62,244",,"-62,244",,"-173,914","-173,914",0,
REVENUE.PSBI,TOTAL REVENUE,1343,Paul Cleary,R-11187,NSSMC Spray Cooling Stage 3B,,,,,,"-33,000",,"-33,000",,"-33,000",,"-33,000",
REVENUE.PSBI,TOTAL REVENUE,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,"-56,000","-28,000","-28,000",
REVENUE.PSBI,TOTAL REVENUE,1343,Paul Cleary,R-12652,Seed termination: stage 1,,"-28,739",,"-28,739",,"-53,739",,"-53,739",,"-107,479","-53,740","-53,739",
REVENUE.PSBI,TOTAL REVENUE,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,,,,,,,,,,"-27,400",,"-27,400",
REVENUE.PSBI,TOTAL REVENUE,3306,Brent Henderson,R-11610,SAGI-North Project,"-78,182",,"-101,980","101,980",,"-161,823","-101,980","-59,843",,"-440,635","-210,716","-229,919",
REVENUE.PSBI,TOTAL REVENUE,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"-127,940","-82,950","-44,990",
REVENUE.PSBI,TOTAL REVENUE,3306,Brent Henderson,R-13504,Improving process efficiency and certain,,"-33,333","-100,000","66,667",,"-100,000","-100,000",0,,"-130,000","-130,000",0,
REVENUE.PSBI,TOTAL REVENUE,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,,"-26,000",,"-26,000",,"-26,000",,"-26,000",,"-66,241","-27,345","-38,896",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,"-10,560","10,560",,,"-10,560","10,560",,"-148,125","-148,125",0,
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,,,,,,,,,,"-80,000","-50,000","-30,000",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,"-12,569","-66,666","-49,701","-16,965",,"-166,666","-49,701","-116,965",,"-402,727","-199,366","-203,361",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,"-13,752",,"-54,376","54,376",,,"-54,376","54,376",,"-350,000","-246,876","-103,124",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,,"-50,000","-25,000","-25,000",,"-140,000","-25,000","-115,000",,"-180,000","-65,000","-115,000",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,"-29,801","-115,000","-117,847","2,847",,"-265,000","-117,847","-147,153",,"-340,000","-200,478","-139,522",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,,,,,,"-25,000",,"-25,000",,"-50,000","-25,000","-25,000",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,,"-135,000",,"-135,000",,"-135,000",,"-135,000",,"-675,000","-472,500","-202,500",
REVENUE.PSBI,TOTAL REVENUE,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"-44,355","-275,000","-169,355","-105,645",,"-500,000","-169,355","-330,645",,"-500,000","-319,355","-180,645",
REVENUE.PSBI,TOTAL REVENUE,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,,"-38,835",0,"-38,835",,"-130,170",0,"-130,170",,"-520,680","-249,926","-270,754",
REVENUE.PSBI,TOTAL REVENUE,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,,,,,,,,,,"-70,000","-70,000",0,
REVENUE.PSBI,TOTAL REVENUE,8008,Gavin Walker,R-12815,NDIS workforce needs,"-13,095","-55,556","-51,785","-3,771",,"-111,111","-51,785","-59,326",,"-250,000","-66,785","-183,215",
REVENUE.PSBI,TOTAL REVENUE,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,,,"-245,000","245,000",,,"-245,000","245,000",,"-245,000","-245,000",0,
REVENUE.PSBI,TOTAL REVENUE,8008,Gavin Walker,R-13939,Emergency Management: Tech surprise pape,"-13,636","-13,636","-13,636",0,,"-13,636","-13,636",0,,"-13,636","-13,636",0,
REVENUE.PSBI,TOTAL REVENUE,8716,Zili Zhu,R-03815,Fenics,,"-107,799","-147,080","39,281",,"-323,398","-147,080","-176,317",,"-2,880,833","-3,019,649","138,816",
REVENUE.PSBI,TOTAL REVENUE,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,,,"-12,000","12,000",,,"-12,000","12,000",,"-118,609","-130,609","12,000",
REVENUE.PSBI,TOTAL REVENUE,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,,,,,,,,,,"-240,000","-139,200","-100,800",
REVENUE.PSBI,TOTAL REVENUE,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,,-1,,-1,,-2,,-2,,"-150,005","-150,005",0,
REVENUE.PSBI,TOTAL REVENUE,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,"-13,835","-40,000","-54,697","14,697",,"-63,000","-54,697","-8,303",,"-378,000","-286,842","-91,158",
REVENUE.PSBI,TOTAL REVENUE,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,,"-26,773","26,773",,,"-26,773","26,773",,"-685,777","-685,119",-658,
REVENUE.PSBI,TOTAL REVENUE,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,"-34,754",,"-146,040","146,040",,,"-146,040","146,040",,"-339,628","-339,628",0,
REVENUE.PSBI,TOTAL REVENUE,12951,Lachlan Hetherton,R-13576,Pr19-2 NSW SP: Forecasting school infras,,,,,,,,,,"-225,000","-225,000",0,
REVENUE.PSBI,TOTAL REVENUE,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"-155,582","-681,319","-504,287","-177,031",,"-736,143","-504,287","-231,856",,"-736,143","-504,287","-231,856",
REVENUE.PSBI,TOTAL REVENUE,24939,Richard Nock,R-11055,On-Board health Monitoring,"-29,962",,"-118,477","118,477",,,"-118,477","118,477",,"-678,171","-649,573","-28,598",
REVENUE.PSBI,TOTAL REVENUE,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,,,,,,,,,,"-1,762","-1,762",0,
REVENUE.PSBI,TOTAL REVENUE,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,0,"-204,000","-100,109","-103,891",,"-204,000","-100,109","-103,891",,"-3,356,000","-3,356,000",0,
REVENUE.PSBI,TOTAL REVENUE,25065,Chen Cai,R-09084,Critical water mains failure prediction,,"-60,000",,"-60,000",,"-60,000",,"-60,000",,"-200,000","-140,000","-60,000",
REVENUE.PSBI,TOTAL REVENUE,25065,Chen Cai,R-10940,TfNSW On Demand Transport,"-63,750",,"-63,750","63,750",,,"-63,750","63,750",,"-93,750","-93,750",0,
REVENUE.PSBI,TOTAL REVENUE,25065,Chen Cai,R-11084,Predictive Analytics for Acer,,,,,,,,,,"-120,000",0,"-120,000",
REVENUE.PSBI,TOTAL REVENUE,25065,Chen Cai,R-11104,Corrosion analytics,,,,,,,,,,"-95,000","-95,000",0,
REVENUE.PSBI,TOTAL REVENUE,25065,Chen Cai,R-13665,Pr19-4 NSW-SP: Defect Detection (ML),,"-100,000","-62,500","-37,500",,"-100,000","-62,500","-37,500",,"-150,000","-112,500","-37,500",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-09657,Social media analytics with Signal,,"-26,498","-26,498",0,,"-26,498","-26,498",0,,"-183,994","-183,994",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-11754,Automated parking regulation solution,,,,,,,,,,"-85,000","-85,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"-390,000","-390,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-12177,Analytics on Inactives,,,,,,,,,,"-150,000","-150,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-12418,Happy Oyster - Challenge Project,,,,,,,,,,,"-157,766","157,766",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-12496,Consumer trust of food quality - from me,,,,,,,,,,,"-77,798","77,798",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-12560,V/Line Performance MVP,,,,,,,,,,"-150,000","-150,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-12643,Robust Learning for Decision Making,"-30,609",,"-121,050","121,050",,,"-121,050","121,050",,"-346,452","-317,233","-29,220",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-12803,Data-driven timetable evaluation model d,,,,,,,,,,"-220,000","-220,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13293,Workflow Optimisation,,"-55,000","-25,000","-30,000",,"-80,000","-25,000","-55,000",,"-100,000","-45,000","-55,000",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13558,Data Strategy,,,"-124,140","124,140",,,"-124,140","124,140",,"-124,140","-124,140",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13598,Towards noninvasive diagnosis of malaria,,"-38,479","-40,839","2,360",,"-38,479","-40,839","2,360",,"-38,479","-40,839","2,360",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"-90,909","-59,091","-31,818",,"-90,909","-59,091","-31,818",,"-90,909","-90,909",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13676,Pr19-8 NSW-SP: Timetable robustness (Ext,,,,,,,,,,"-180,000","-180,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13677,Pr19-9 NSW-SP: Timetable Robustness (Ext,"50,000",,"50,000","-50,000",,,"50,000","-50,000",,"-50,000",0,"-50,000",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13854,Spark licensing,,"-15,000","-15,000",0,,"-15,000","-15,000",0,,"-15,000","-15,000",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,"-8,557","-85,000","-24,895","-60,105",,"-85,000","-24,895","-60,105",,"-205,000","-24,895","-180,105",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13968,New comminution device (MSI) stages 1 an,,,,,,"-89,500",,"-89,500",,"-89,500",,"-89,500",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-13973,R and Data mining course,,"-50,000",,"-50,000",,"-50,000",,"-50,000",,"-50,000",,"-50,000",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-90148,Analytics Program - Travel and Operating,,,,,,,,,,"-4,091","-4,091",0,
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-90149,Analytics Program - Small Consultancies,,"-82,066","-50,033","-32,033",,"-147,412","-50,033","-97,379",,"-464,334","-232,061","-232,273",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-90546,CRP- Analytics,,,,,,,,,,,"-50,000","50,000",
REVENUE.PSBI,TOTAL REVENUE,#,Not assigned,R-91103,Australian Startup Ecosystem,,,"13,000","-13,000",,,"13,000","-13,000",,"-13,000",0,"-13,000",
RESEARINV.CS,Research and Service,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,,"-62,244",,"-62,244",,"-62,244",,"-62,244",,"-123,267","-61,023","-62,244",
RESEARINV.CS,Research and Service,1343,Paul Cleary,R-11187,NSSMC Spray Cooling Stage 3B,,,,,,"-33,000",,"-33,000",,"-33,000",,"-33,000",
RESEARINV.CS,Research and Service,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,"-56,000","-28,000","-28,000",
RESEARINV.CS,Research and Service,1343,Paul Cleary,R-12652,Seed termination: stage 1,,"-28,739",,"-28,739",,"-53,739",,"-53,739",,"-107,479","-53,740","-53,739",
RESEARINV.CS,Research and Service,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,,,,,,,,,,"-27,400",,"-27,400",
RESEARINV.CS,Research and Service,3306,Brent Henderson,R-11610,SAGI-North Project,,,,,,"-161,823",,"-161,823",,"-440,635","-113,586","-327,049",
RESEARINV.CS,Research and Service,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"-127,940","-82,950","-44,990",
RESEARINV.CS,Research and Service,3306,Brent Henderson,R-13504,Improving process efficiency and certain,,"-33,333","-100,000","66,667",,"-100,000","-100,000",0,,"-130,000","-130,000",0,
RESEARINV.CS,Research and Service,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,,"-26,000",,"-26,000",,"-26,000",,"-26,000",,"-66,000","-26,000","-40,000",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,"-10,560","10,560",,,"-10,560","10,560",,"-148,125","-148,125",0,
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,,,,,,,,,,"-80,000","-50,000","-30,000",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,,"-66,666","-66,666",0,,"-166,666","-66,666","-100,000",,"-400,000","-199,998","-200,002",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,,,,,,,,,,"-350,000","-350,000",0,
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,,"-50,000","-25,000","-25,000",,"-140,000","-25,000","-115,000",,"-180,000","-65,000","-115,000",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,,"-115,000","-75,000","-40,000",,"-265,000","-75,000","-190,000",,"-340,000","-75,000","-265,000",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,,,,,,"-25,000",,"-25,000",,"-50,000","-25,000","-25,000",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,,"-135,000",,"-135,000",,"-135,000",,"-135,000",,"-675,000","-540,000","-135,000",
RESEARINV.CS,Research and Service,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,,"-275,000",,"-275,000",,"-500,000",,"-500,000",,"-500,000","-150,000","-350,000",
RESEARINV.CS,Research and Service,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,,"-38,835","-38,835",0,,"-130,170","-38,835","-91,335",,"-520,680","-271,845","-248,835",
RESEARINV.CS,Research and Service,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,,,,,,,,,,"-70,000","-70,000",0,
RESEARINV.CS,Research and Service,8008,Gavin Walker,R-12815,NDIS workforce needs,,"-55,556","-27,778","-27,778",,"-111,111","-27,778","-83,333",,"-250,000","-55,556","-194,444",
RESEARINV.CS,Research and Service,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,,,"-245,000","245,000",,,"-245,000","245,000",,"-245,000","-245,000",0,
RESEARINV.CS,Research and Service,8008,Gavin Walker,R-13939,Emergency Management: Tech surprise pape,"-13,636","-13,636","-13,636",0,,"-13,636","-13,636",0,,"-13,636","-13,636",0,
RESEARINV.CS,Research and Service,8716,Zili Zhu,R-03815,Fenics,,"-107,799","-147,080","39,281",,"-323,398","-147,080","-176,317",,"-2,880,833","-3,019,649","138,816",
RESEARINV.CS,Research and Service,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,,,"-12,000","12,000",,,"-12,000","12,000",,"-118,609","-130,609","12,000",
RESEARINV.CS,Research and Service,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,,,,,,,,,,"-240,000","-170,000","-70,000",
RESEARINV.CS,Research and Service,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,,-1,,-1,,-2,,-2,,"-150,005","-150,000",-5,
RESEARINV.CS,Research and Service,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,,"-40,000",,"-40,000",,"-63,000",,"-63,000",,"-378,000","-149,000","-229,000",
RESEARINV.CS,Research and Service,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,,,,,,,,,"-685,777","-685,119",-658,
RESEARINV.CS,Research and Service,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,,,,,,,,,,"-339,628","-341,623","1,996",
RESEARINV.CS,Research and Service,12951,Lachlan Hetherton,R-13576,Pr19-2 NSW SP: Forecasting school infras,,,,,,,,,,"-225,000","-225,000",0,
RESEARINV.CS,Research and Service,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"-736,143","-681,319","-736,143","54,825",,"-736,143","-736,143",0,,"-736,143","-736,143",0,
RESEARINV.CS,Research and Service,24939,Richard Nock,R-11055,On-Board health Monitoring,,,,,,,,,,"-678,171","-678,260",88,
RESEARINV.CS,Research and Service,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,"-204,000","-204,000","-204,000",0,,"-204,000","-204,000",0,,"-3,356,000","-3,356,000",0,
RESEARINV.CS,Research and Service,25065,Chen Cai,R-09084,Critical water mains failure prediction,,"-60,000",,"-60,000",,"-60,000",,"-60,000",,"-200,000","-138,425","-61,575",
RESEARINV.CS,Research and Service,25065,Chen Cai,R-10940,TfNSW On Demand Transport,,,,,,,,,,"-93,750","-93,750",0,
RESEARINV.CS,Research and Service,25065,Chen Cai,R-11084,Predictive Analytics for Acer,,,,,,,,,,"-120,000",0,"-120,000",
RESEARINV.CS,Research and Service,25065,Chen Cai,R-11104,Corrosion analytics,,,,,,,,,,"-95,000","-95,000",0,
RESEARINV.CS,Research and Service,25065,Chen Cai,R-13665,Pr19-4 NSW-SP: Defect Detection (ML),,"-100,000","-62,500","-37,500",,"-100,000","-62,500","-37,500",,"-150,000","-112,500","-37,500",
RESEARINV.CS,Research and Service,#,Not assigned,R-09657,Social media analytics with Signal,,"-26,498","-26,498",0,,"-26,498","-26,498",0,,"-183,994","-183,994",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-11754,Automated parking regulation solution,,,,,,,,,,"-85,000","-85,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"-390,000","-390,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-12177,Analytics on Inactives,,,,,,,,,,"-150,000","-150,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-12418,Happy Oyster - Challenge Project,,,,,,,,,,,"-157,766","157,766",
RESEARINV.CS,Research and Service,#,Not assigned,R-12496,Consumer trust of food quality - from me,,,,,,,,,,,"-77,798","77,798",
RESEARINV.CS,Research and Service,#,Not assigned,R-12560,V/Line Performance MVP,,,,,,,,,,"-150,000","-150,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-12643,Robust Learning for Decision Making,,,,,,,,,,"-346,452","-346,452",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-12803,Data-driven timetable evaluation model d,,,,,,,,,,"-220,000","-220,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-13293,Workflow Optimisation,,"-55,000","-25,000","-30,000",,"-80,000","-25,000","-55,000",,"-100,000","-45,000","-55,000",
RESEARINV.CS,Research and Service,#,Not assigned,R-13558,Data Strategy,,,"-124,140","124,140",,,"-124,140","124,140",,"-124,140","-124,140",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-13598,Towards noninvasive diagnosis of malaria,,"-38,479","-40,839","2,360",,"-38,479","-40,839","2,360",,"-38,479","-40,839","2,360",
RESEARINV.CS,Research and Service,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"-90,909","-59,091","-31,818",,"-90,909","-59,091","-31,818",,"-90,909","-90,909",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-13676,Pr19-8 NSW-SP: Timetable robustness (Ext,,,,,,,,,,"-180,000","-180,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-13677,Pr19-9 NSW-SP: Timetable Robustness (Ext,"50,000",,"50,000","-50,000",,,"50,000","-50,000",,"-50,000",0,"-50,000",
RESEARINV.CS,Research and Service,#,Not assigned,R-13854,Spark licensing,,"-15,000","-15,000",0,,"-15,000","-15,000",0,,"-15,000","-15,000",0,
RESEARINV.CS,Research and Service,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,,"-85,000","-55,000","-30,000",,"-85,000","-55,000","-30,000",,"-205,000","-55,000","-150,000",
RESEARINV.CS,Research and Service,#,Not assigned,R-13968,New comminution device (MSI) stages 1 an,,,,,,"-89,500",,"-89,500",,"-89,500",,"-89,500",
RESEARINV.CS,Research and Service,#,Not assigned,R-13973,R and Data mining course,,"-50,000",,"-50,000",,"-50,000",,"-50,000",,"-50,000",,"-50,000",
RESEARINV.CS,Research and Service,#,Not assigned,R-90149,Analytics Program - Small Consultancies,,"-82,066","-50,033","-32,033",,"-147,412","-50,033","-97,379",,"-464,334","-232,061","-232,273",
RESEARINV.CS,Research and Service,#,Not assigned,R-91103,Australian Startup Ecosystem,,,"13,000","-13,000",,,"13,000","-13,000",,"-13,000",0,"-13,000",
REPSEG1140.PSBI,Other External,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,,,,,,,,,,"-50,647","-50,647",0,
REPSEG1140.PSBI,Other External,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,,,,,,,,,,-241,"-1,345","1,104",
REPSEG1140.PSBI,Other External,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,,,,,,,,,,"-2,727","-2,727",0,
REPSEG1140.PSBI,Other External,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,,,,,,,,,,"-1,762","-1,762",0,
REPSEG1140.PSBI,Other External,#,Not assigned,R-90148,Analytics Program - Travel and Operating,,,,,,,,,,"-4,091","-4,091",0,
REPSEG1140.PSBI,Other External,#,Not assigned,R-90546,CRP- Analytics,,,,,,,,,,,"-50,000","50,000",
WIPDR.PSBI,WIP/DR Adjustment,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,,,,,,,,,,,"-62,244","62,244",
WIPDR.PSBI,WIP/DR Adjustment,3306,Brent Henderson,R-11610,SAGI-North Project,"-78,182",,"-101,980","101,980",,,"-101,980","101,980",,,"-97,130","97,130",
WIPDR.PSBI,WIP/DR Adjustment,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,"-12,569",,"16,965","-16,965",,,"16,965","-16,965",,,"3,359","-3,359",
WIPDR.PSBI,WIP/DR Adjustment,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,"-13,752",,"-54,376","54,376",,,"-54,376","54,376",,,"103,124","-103,124",
WIPDR.PSBI,WIP/DR Adjustment,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,"-29,801",,"-42,847","42,847",,,"-42,847","42,847",,,"-125,478","125,478",
WIPDR.PSBI,WIP/DR Adjustment,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,,,,,,,,,,,"67,500","-67,500",
WIPDR.PSBI,WIP/DR Adjustment,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"-44,355",,"-169,355","169,355",,,"-169,355","169,355",,,"-169,355","169,355",
WIPDR.PSBI,WIP/DR Adjustment,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,,,"38,835","-38,835",,,"38,835","-38,835",,,"21,919","-21,919",
WIPDR.PSBI,WIP/DR Adjustment,8008,Gavin Walker,R-12815,NDIS workforce needs,"-13,095",,"-24,007","24,007",,,"-24,007","24,007",,,"-11,229","11,229",
WIPDR.PSBI,WIP/DR Adjustment,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,,,,,,,,,,,"30,800","-30,800",
WIPDR.PSBI,WIP/DR Adjustment,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,,,,,,,,,,,-5,5,
WIPDR.PSBI,WIP/DR Adjustment,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,"-13,835",,"-54,697","54,697",,,"-54,697","54,697",,,"-137,842","137,842",
WIPDR.PSBI,WIP/DR Adjustment,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,,"-26,773","26,773",,,"-26,773","26,773",,,0,0,
WIPDR.PSBI,WIP/DR Adjustment,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,"-34,754",,"-146,040","146,040",,,"-146,040","146,040",,,"1,996","-1,996",
WIPDR.PSBI,WIP/DR Adjustment,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"580,561",,"231,856","-231,856",,,"231,856","-231,856",,,"231,856","-231,856",
WIPDR.PSBI,WIP/DR Adjustment,24939,Richard Nock,R-11055,On-Board health Monitoring,"-29,962",,"-118,477","118,477",,,"-118,477","118,477",,,"28,687","-28,687",
WIPDR.PSBI,WIP/DR Adjustment,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,"204,000",,"103,891","-103,891",,,"103,891","-103,891",,,0,0,
WIPDR.PSBI,WIP/DR Adjustment,25065,Chen Cai,R-09084,Critical water mains failure prediction,,,,,,,,,,,"-1,575","1,575",
WIPDR.PSBI,WIP/DR Adjustment,25065,Chen Cai,R-10940,TfNSW On Demand Transport,"-63,750",,"-63,750","63,750",,,"-63,750","63,750",,,0,0,
WIPDR.PSBI,WIP/DR Adjustment,#,Not assigned,R-12643,Robust Learning for Decision Making,"-30,609",,"-121,050","121,050",,,"-121,050","121,050",,,"29,220","-29,220",
